nome_repositorio,idade_anos,total_releases,status_rq21,analisado
openai/whisper,3.92,13,ok,true
openai/codex,1.35,997,ok,true
google-gemini/gemini-cli,1.34,591,ok,true
DietrichGebert/ponytail,0.19,15,ok,true
goldbergyoni/nodebestpractices,8.93,0,ok,true
microsoft/terminal,9.02,156,ok,true
deepseek-ai/DeepSeek-V3,1.65,1,ok,true
react/create-react-app,10.09,83,ok,true
rasbt/LLMs-from-scratch,3.07,0,ok,true
pytorch/pytorch,10.02,68,ok,true
Anduin2017/HowToCook,6.47,5,ok,true
neovim/neovim,12.55,54,ok,true
fastapi/fastapi,7.7,300,ok,true
angular/angular,11.92,693,ok,true
ruanyf/weekly,7.85,0,ok,true
mtdvio/every-programmer-should-know,8.99,0,ok,true
JuliusBrussee/caveman,0.38,22,ok,true
ant-design/ant-design,11.32,759,ok,true
TauricResearch/TradingAgents,1.64,8,ok,true
mui/material-ui,12,572,ok,true
nvbn/thefuck,11.36,17,ok,true
tailwindlabs/tailwindcss,8.87,307,ok,true
florinpop17/app-ideas,7.48,0,ok,true
microsoft/Web-Dev-For-Beginners,5.77,0,ok,true
hacksider/Deep-Live-Cam,2.9,13,ok,true
oven-sh/bun,5.35,214,ok,true
puppeteer/puppeteer,9.28,701,ok,true
ryanmcdermott/clean-code-javascript,9.73,0,ok,true
microsoft/playwright,6.76,165,ok,true
nvm-sh/nvm,16.34,74,ok,true
iluwatar/java-design-patterns,12.03,0,ok,true
karpathy/autoresearch,0.45,0,ok,true
earendil-works/pi,1.03,255,ok,true
punkpeye/awesome-mcp-servers,1.72,0,ok,true
deepseek-ai/DeepSeek-R1,1.58,1,ok,true
3b1b/manim,11.41,13,ok,true
thedotmack/claude-mem,0.97,307,ok,true
ruvnet/RuView,1.2,287,ok,true
storybookjs/storybook,10.42,1836,ok,true
opencv/opencv,14.08,69,ok,true
louislam/uptime-kuma,5.13,131,ok,true
PanJiaChen/vue-element-admin,9.34,49,ok,true
home-assistant/core,12.92,1630,ok,true
bitcoin/bitcoin,15.67,68,ok,true
Stirling-Tools/Stirling-PDF,3.56,186,ok,true
mermaid-js/mermaid,11.8,206,ok,true
sherlock-project/sherlock,7.65,2,ok,true
modelcontextprotocol/servers,1.75,27,ok,true
microsoft/ML-For-Beginners,5.46,0,ok,true
vllm-project/vllm,3.52,103,ok,true
gohugoio/hugo,13.13,381,ok,true
nexu-io/open-design,0.31,28,ok,true
gin-gonic/gin,12.18,29,ok,true
zed-industries/zed,5.49,1285,ok,true
astral-sh/uv,2.88,303,ok,true
infiniflow/ragflow,2.69,53,ok,true
localsend/localsend,3.68,26,ok,true
ChatGPTNextWeb/NextChat,3.44,77,ok,true
addyosmani/agent-skills,0.51,9,ok,true
MunGell/awesome-for-beginners,10.82,0,ok,true
django/django,14.31,0,ok,true
sveltejs/svelte,9.74,635,ok,true
PaddlePaddle/PaddleOCR,6.28,33,ok,true
syncthing/syncthing,12.73,479,ok,true
ByteByteGoHq/system-design-101,2.92,0,ok,true
odysseus-dev/odysseus,0.22,0,ok,true
OpenCut-app/OpenCut,1.16,3,ok,true
laravel/laravel,15.2,227,ok,true
macrozheng/mall,8.38,3,ok,true
OpenHands/OpenHands,2.43,133,ok,true
bregman-arie/devops-exercises,6.88,0,ok,true
DopplerHQ/awesome-interview-questions,10.72,0,ok,true
realworld-apps/realworld,10.48,0,ok,true
koala73/worldmonitor,0.61,43,ok,true
Developer-Y/cs-video-courses,9.83,0,ok,true
animate-css/animate.css,14.85,22,ok,true
junegunn/fzf,12.82,84,ok,true
fighting41love/funNLP,7.99,0,ok,true
vitejs/vite,6.33,713,ok,true
tonsky/FiraCode,11.77,29,ok,true
mlabonne/llm-course,3.17,0,ok,true
lobehub/lobehub,3.25,3008,ok,true
jesseduffield/lazygit,8.25,186,ok,true
spring-projects/spring-boot,13.83,352,ok,true
bytedance/deer-flow,1.28,1,ok,true
TapXWorld/ChinaTextbook,6.62,0,ok,true
netdata/netdata,13.17,138,ok,true
swisskyrepo/PayloadsAllTheThings,9.83,5,ok,true
hoppscotch/hoppscotch,7,107,ok,true
Egonex-AI/Understand-Anything,0.43,8,ok,true
anuraghazra/github-readme-stats,6.11,0,ok,true
d2l-ai/d2l-zh,8.99,16,ok,true
doocs/advanced-java,7.87,1,ok,true
Z4nzu/hackingtool,6.35,0,ok,true
coder/code-server,7.47,253,ok,true
paperclipai/paperclip,0.47,20,ok,true
ventoy/Ventoy,6.44,115,ok,true
unclecode/crawl4ai,2.28,20,ok,true
Leonxlnx/taste-skill,0.5,0,ok,true
awesomedata/awesome-public-datasets,11.75,1,ok,true
opendatalab/MinerU,2.47,186,ok,true
elastic/elasticsearch,16.53,260,ok,true
tensorflow/models,10.54,51,ok,true
dair-ai/Prompt-Engineering-Guide,3.67,0,ok,true
nomic-ai/gpt4all,3.4,38,ok,true
